date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:22:39	74/74	---M-Z	200	added ('OK')	text/plain	date:Sun,%2006%20Nov%202022%2011:52:39%20GMT	https://internationalforestindustries.com/robots.txt		(from )
17:22:39	104345/104345	---M-Z	200	added ('OK')	text/html	etag:%224746-5eccaab0ab71b%22	https://internationalforestindustries.com/	C:/My%20Web%20Sites/bitm39/internationalforestindustries.com/index.html	(from )
17:22:40	37135/37135	---MCZ	200	added ('OK')	text/css	etag:W/%225ae08da5-910f%22	https://internationalforestindustries.com/site/wp-content/themes/IFI/style.css?2022-11-06%2010:21:19	C:/My%20Web%20Sites/bitm39/internationalforestindustries.com/site/wp-content/themes/IFI/style740b.css	(from https://internationalforestindustries.com/)
17:22:40	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sun,%2006%20Nov%202022%2011:52:40%20GMT	https://internationalforestindustries.com/site/xmlrpc.php	C:/My%20Web%20Sites/bitm39/internationalforestindustries.com/site/xmlrpc.php	(from https://internationalforestindustries.com/)
17:22:41	3185/3185	---MCZ	200	added ('OK')	text/css	etag:W/%22620653a7-c71%22	https://internationalforestindustries.com/site/wp-content/plugins/column-shortcodes//assets/css/shortcodes.css?ver=1.0.1	C:/My%20Web%20Sites/bitm39/internationalforestindustries.com/site/wp-content/plugins/column-shortcodes/assets/css/shortcodesf269.css	(from https://internationalforestindustries.com/)
17:22:41	141062/141062	---M--	200	added ('OK')	image/jpeg	etag:%225964af62-22706%22	https://internationalforestindustries.com/site/wp-content/uploads/2017/07/Vermeer6800_975x125-july2017.jpg	C:/My%20Web%20Sites/bitm39/internationalforestindustries.com/site/wp-content/uploads/2017/07/Vermeer6800_975x125-july2017.jpg	(from https://internationalforestindustries.com/)
17:22:42	2731/2731	---MCZ	200	added ('OK')	text/css	etag:W/%22621e0990-aab%22	https://internationalforestindustries.com/site/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.5.6	C:/My%20Web%20Sites/bitm39/internationalforestindustries.com/site/wp-content/plugins/contact-form-7/includes/css/styles5406.css	(from https://internationalforestindustries.com/)
17:22:42	2708/2708	---MCZ	200	added ('OK')	text/css	etag:W/%22620654f2-a94%22	https://internationalforestindustries.com/site/wp-content/plugins/wp-polls/polls-css.css?ver=2.75.6	C:/My%20Web%20Sites/bitm39/internationalforestindustries.com/site/wp-content/plugins/wp-polls/polls-cssb438.css	(from https://internationalforestindustries.com/)
17:22:43	31045/31045	---MCZ	200	added ('OK')	text/css	etag:W/%22586e2f55-7945%22	https://internationalforestindustries.com/site/wp-content/themes/IFI/genericons/genericons.css?ver=3.03	C:/My%20Web%20Sites/bitm39/internationalforestindustries.com/site/wp-content/themes/IFI/genericons/genericons6bb7.css	(from https://internationalforestindustries.com/)
17:22:44	29063/29063	---MCZ	200	added ('OK')	text/css	etag:W/%22586e2f60-7187%22	https://internationalforestindustries.com/site/wp-content/themes/IFI/font-awesome/css/font-awesome.min.css?ver=4.6.3	C:/My%20Web%20Sites/bitm39/internationalforestindustries.com/site/wp-content/themes/IFI/font-awesome/css/font-awesome.min4698.css	(from https://internationalforestindustries.com/)
